epoch,step,train_loss,val_loss
0,99,,12.221052169799805
0,99,4.0868306159973145,
1,199,,11.310555458068848
1,199,3.894315481185913,
2,299,,10.104192733764648
2,299,3.4482107162475586,
3,399,,10.862714767456055
3,399,2.8580856323242188,
4,499,,10.734474182128906
4,499,2.304049491882324,
5,599,,10.269402503967285
5,599,2.090261459350586,
6,699,,9.81756591796875
6,699,1.9457660913467407,
7,799,,9.327492713928223
7,799,1.8800132274627686,
8,899,,8.905754089355469
8,899,1.7879034280776978,
9,999,,8.518542289733887
9,999,1.800248146057129,
10,1099,,8.198723793029785
10,1099,1.7728930711746216,
11,1199,,8.250794410705566
11,1199,1.7564500570297241,
12,1299,,7.794093608856201
12,1299,1.7405956983566284,
13,1399,,7.140025615692139
13,1399,1.773957371711731,
14,1499,,7.025269508361816
14,1499,1.6591876745224,
15,1599,,6.964444637298584
15,1599,1.657171607017517,
16,1699,,6.85190486907959
16,1699,1.655434250831604,
17,1799,,6.767576694488525
17,1799,1.6773781776428223,
18,1899,,6.334531307220459
18,1899,1.6603801250457764,
19,1999,,6.1881561279296875
19,1999,1.641909122467041,
20,2099,,6.230288028717041
20,2099,1.6623083353042603,
21,2199,,5.882235050201416
21,2199,1.5877827405929565,
22,2299,,6.274964809417725
22,2299,1.5932804346084595,
23,2399,,5.91934871673584
23,2399,1.6261894702911377,
24,2499,,5.32797908782959
24,2499,1.5808590650558472,
25,2599,,5.744256019592285
25,2599,1.6301418542861938,
26,2699,,5.324141502380371
26,2699,1.6511279344558716,
27,2799,,4.964226722717285
27,2799,1.6460015773773193,
28,2899,,5.344698429107666
28,2899,1.6493487358093262,
29,2999,,4.516863822937012
29,2999,1.6213864088058472,
30,3099,,4.9894328117370605
30,3099,1.5807915925979614,
31,3199,,4.683804035186768
31,3199,1.576576828956604,
32,3299,,4.983335971832275
32,3299,1.5653407573699951,
33,3399,,4.665860176086426
33,3399,1.5857925415039062,
34,3499,,4.726909160614014
34,3499,1.6233506202697754,
35,3599,,4.690556049346924
35,3599,1.5889586210250854,
36,3699,,4.593570709228516
36,3699,1.6036192178726196,
37,3799,,4.835488796234131
37,3799,1.5747385025024414,
38,3899,,4.717536926269531
38,3899,1.559821605682373,
39,3999,,4.726962089538574
39,3999,1.5630427598953247,
