epoch,step,train_loss,val_loss
0,99,,3.4226248264312744
0,99,3.083789348602295,
1,199,,3.294241428375244
1,199,2.6427619457244873,
2,299,,3.269432544708252
2,299,2.4848313331604004,
3,399,,3.279026508331299
3,399,2.382934331893921,
4,499,,3.287534236907959
4,499,2.2495477199554443,
5,599,,3.2877285480499268
5,599,2.222506523132324,
6,699,,3.2740514278411865
6,699,2.250947952270508,
7,799,,3.3176803588867188
7,799,2.149790048599243,
8,899,,3.2965800762176514
8,899,2.256993055343628,
9,999,,3.300644636154175
9,999,2.151014804840088,
10,1099,,3.3740792274475098
10,1099,2.106153964996338,
11,1199,,3.295438051223755
11,1199,2.0547053813934326,
12,1299,,3.5664005279541016
12,1299,2.1394522190093994,
