epoch,step,train_loss,val_loss
0,99,,8.890867233276367
0,99,5.009901523590088,
1,199,,5.2329230308532715
1,199,3.6260769367218018,
2,299,,4.258082866668701
2,299,2.8741295337677,
3,399,,3.7996788024902344
3,399,2.3050429821014404,
4,499,,3.4982268810272217
4,499,2.036604404449463,
5,599,,3.3388559818267822
5,599,1.8823902606964111,
6,699,,3.275222063064575
6,699,1.8896528482437134,
7,799,,3.179414749145508
7,799,1.8833197355270386,
8,899,,3.234126567840576
8,899,1.771906852722168,
9,999,,3.430314302444458
9,999,1.7390097379684448,
10,1099,,3.4731783866882324
10,1099,1.7151193618774414,
11,1199,,3.5355687141418457
11,1199,1.7286171913146973,
12,1299,,3.424114465713501
12,1299,1.690393090248108,
13,1399,,3.6357204914093018
13,1399,1.6561789512634277,
14,1499,,3.6747233867645264
14,1499,1.6903098821640015,
15,1599,,3.4817216396331787
15,1599,1.703088641166687,
16,1699,,3.5217556953430176
16,1699,1.6458243131637573,
17,1799,,3.4470410346984863
17,1799,1.63645601272583,
