epoch,step,train_loss,val_loss
0,99,,5.326888561248779
0,99,3.8294718265533447,
1,199,,4.6641950607299805
1,199,2.4797186851501465,
2,299,,4.640127658843994
2,299,2.050713062286377,
3,399,,4.634091854095459
3,399,1.8942768573760986,
4,499,,4.407435417175293
4,499,1.8056813478469849,
5,599,,4.520178318023682
5,599,1.767491340637207,
6,699,,4.618217468261719
6,699,1.7367053031921387,
7,799,,4.454484462738037
7,799,1.7154563665390015,
8,899,,4.2431464195251465
8,899,1.6700929403305054,
9,999,,3.874664068222046
9,999,1.684098243713379,
10,1099,,4.04258394241333
10,1099,1.6577064990997314,
11,1199,,3.938462972640991
11,1199,1.632765293121338,
12,1299,,3.890529155731201
12,1299,1.602658987045288,
13,1399,,3.7922956943511963
13,1399,1.6363917589187622,
14,1499,,3.8867928981781006
14,1499,1.6183013916015625,
15,1599,,3.684551239013672
15,1599,1.5880191326141357,
16,1699,,3.5998318195343018
16,1699,1.5653753280639648,
17,1799,,3.5716145038604736
17,1799,1.594994068145752,
18,1899,,3.5218963623046875
18,1899,1.5998753309249878,
19,1999,,3.543426990509033
19,1999,1.5883119106292725,
20,2099,,3.3966081142425537
20,2099,1.6011675596237183,
21,2199,,3.348262071609497
21,2199,1.592197299003601,
22,2299,,3.4071269035339355
22,2299,1.5858557224273682,
23,2399,,3.2801921367645264
23,2399,1.5803364515304565,
24,2499,,3.289860248565674
24,2499,1.5706353187561035,
25,2599,,3.283052682876587
25,2599,1.5480427742004395,
26,2699,,3.182987689971924
26,2699,1.5715450048446655,
27,2799,,3.233802318572998
27,2799,1.5899114608764648,
28,2899,,3.123422384262085
28,2899,1.5566024780273438,
29,2999,,3.1446385383605957
29,2999,1.5336182117462158,
30,3099,,3.090702533721924
30,3099,1.5429898500442505,
31,3199,,2.937915802001953
31,3199,1.5613735914230347,
32,3299,,2.942932367324829
32,3299,1.5405136346817017,
33,3399,,3.0241992473602295
33,3399,1.5328630208969116,
34,3499,,2.9277970790863037
34,3499,1.5464069843292236,
35,3599,,2.8465793132781982
35,3599,1.5633453130722046,
36,3699,,2.8013625144958496
36,3699,1.54123854637146,
37,3799,,2.8986763954162598
37,3799,1.5203694105148315,
38,3899,,2.8563570976257324
38,3899,1.5424057245254517,
39,3999,,2.8840153217315674
39,3999,1.547041893005371,
40,4099,,2.902529001235962
40,4099,1.5382170677185059,
41,4199,,2.871105670928955
41,4199,1.5232946872711182,
42,4299,,2.9164979457855225
42,4299,1.5548094511032104,
43,4399,,2.8487818241119385
43,4399,1.5655099153518677,
44,4499,,2.8082096576690674
44,4499,1.534690260887146,
45,4599,,3.0156402587890625
45,4599,1.5764570236206055,
46,4699,,3.1566925048828125
46,4699,1.5352048873901367,
