epoch,step,train_loss,val_loss
0,99,,5.64669132232666
0,99,5.702893257141113,
1,199,,5.387967109680176
1,199,4.356851577758789,
2,299,,5.323237895965576
2,299,4.593235969543457,
3,399,,5.807309627532959
3,399,4.5660929679870605,
4,499,,5.590212345123291
4,499,4.536498546600342,
5,599,,5.41073751449585
5,599,3.810817003250122,
6,699,,5.519654273986816
6,699,3.8209962844848633,
7,799,,5.18939208984375
7,799,3.712191581726074,
8,899,,5.194693565368652
8,899,3.76350736618042,
9,999,,5.2220845222473145
9,999,3.6339173316955566,
10,1099,,5.292567729949951
10,1099,3.6193814277648926,
11,1199,,5.952938079833984
11,1199,3.6322073936462402,
12,1299,,5.276432991027832
12,1299,3.6395504474639893,
13,1399,,5.225829124450684
13,1399,3.4831087589263916,
14,1499,,5.27158260345459
14,1499,3.559103488922119,
15,1599,,5.221951007843018
15,1599,3.349475383758545,
16,1699,,4.8778228759765625
16,1699,3.0089669227600098,
17,1799,,4.543754577636719
17,1799,2.7399468421936035,
18,1899,,4.27756404876709
18,1899,2.391831159591675,
19,1999,,4.136000156402588
19,1999,2.1403462886810303,
20,2099,,4.099507808685303
20,2099,2.0904157161712646,
21,2199,,4.011277198791504
21,2199,1.954927921295166,
22,2299,,3.8701555728912354
22,2299,1.867367148399353,
23,2399,,3.8683929443359375
23,2399,1.8434994220733643,
24,2499,,3.8216776847839355
24,2499,1.8149213790893555,
25,2599,,3.809013843536377
25,2599,1.8396133184432983,
26,2699,,3.771911382675171
26,2699,1.774713397026062,
27,2799,,3.637244701385498
27,2799,1.8320488929748535,
28,2899,,3.623798370361328
28,2899,1.8051555156707764,
29,2999,,3.525426149368286
29,2999,1.7693581581115723,
30,3099,,3.464977264404297
30,3099,1.7491847276687622,
31,3199,,3.3747246265411377
31,3199,1.7515166997909546,
32,3299,,3.2402970790863037
32,3299,1.721016526222229,
33,3399,,3.2690494060516357
33,3399,1.7054054737091064,
34,3499,,3.173448324203491
34,3499,1.7301843166351318,
35,3599,,3.1895642280578613
35,3599,1.6830034255981445,
36,3699,,3.168264150619507
36,3699,1.6991788148880005,
37,3799,,3.139650344848633
37,3799,1.739294171333313,
38,3899,,3.1403720378875732
38,3899,1.6944791078567505,
39,3999,,3.135624647140503
39,3999,1.677539348602295,
40,4099,,2.929459810256958
40,4099,1.7101538181304932,
41,4199,,3.0007271766662598
41,4199,1.6808933019638062,
42,4299,,3.1938183307647705
42,4299,1.707755446434021,
43,4399,,3.048086404800415
43,4399,1.6563929319381714,
44,4499,,3.0622286796569824
44,4499,1.630119800567627,
45,4599,,3.069110870361328
45,4599,1.6415443420410156,
46,4699,,2.9717462062835693
46,4699,1.6523737907409668,
47,4799,,2.9046037197113037
47,4799,1.617060661315918,
48,4899,,2.9888997077941895
48,4899,1.6655158996582031,
49,4999,,3.0625250339508057
49,4999,1.6392834186553955,
