epoch,step,train_loss,val_loss
0,99,,3.4580628871917725
0,99,2.958911418914795,
1,199,,3.384279489517212
1,199,2.5884363651275635,
2,299,,3.3425896167755127
2,299,2.50369930267334,
3,399,,3.2614712715148926
3,399,2.40336537361145,
4,499,,3.1780388355255127
4,499,2.2767598628997803,
5,599,,3.4349746704101562
5,599,2.248023271560669,
6,699,,3.2886598110198975
6,699,2.1642215251922607,
7,799,,3.5365989208221436
7,799,2.080264091491699,
8,899,,3.5581071376800537
8,899,2.1125214099884033,
9,999,,3.3171794414520264
9,999,2.0060408115386963,
